trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.49502999999999897, 'e': 0.9651227342299934}",20,0,-177.66497517473894,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
72,False,"{'a': 0.49495999999999896, 'e': 0.9646402934831159}",20,0,-29.622127075720655,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.49488999999999894, 'e': 0.9641580938963167}",20,0,-70.83804091965219,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.4948199999999989, 'e': 0.9636761353490461}",30,0,-219.17546658327555,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
75,False,"{'a': 0.4947499999999989, 'e': 0.9631944177208143}",20,0,-92.38732905202413,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
76,False,"{'a': 0.4946799999999989, 'e': 0.962712940891192}",20,0,-152.85020721760716,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
77,False,"{'a': 0.4946099999999989, 'e': 0.9622317047398099}",20,0,-24.267378152724035,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.49453999999999887, 'e': 0.961750709146359}",20,0,-130.66653323054086,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
79,False,"{'a': 0.49446999999999885, 'e': 0.9612699539905903}",20,0,-88.52208915110724,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
80,False,"{'a': 0.49439999999999884, 'e': 0.9607894391523153}",20,0,-127.08396561814033,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
81,False,"{'a': 0.4943299999999988, 'e': 0.9603091645114049}",20,0,-104.65485458094935,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.4942599999999988, 'e': 0.9598291299477908}",25,0,-101.14794822251487,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
83,False,"{'a': 0.4941899999999988, 'e': 0.959349335341464}",35,0,-140.65452956686642,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
84,False,"{'a': 0.4941199999999988, 'e': 0.9588697805724762}",20,0,-31.50472162942426,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
